gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
LAMP3,-0.0192,0.1422,0.5117,0.5142,1.1852,0.7878,0.637,0.4588,1.3016,0.1633,1.2682,0.3726,0.5445,0.0744,0.1679,0.0129,-0.272,-0.3211,0.0509,0.5298,1.0793,0.2882,0.0605,0.1235,0.4255,1.0827,-0.4765,0.8573,0.429,0.7627,0.5224,-0.0108
TREM2,0.1792,0.0022,0.2021,0.5635,0.8384,1.1465,0.5023,0.6364,0.6483,0.9386,0.7789,0.5715,1.0697,1.0652,0.728,0.7342,0.1919,0.0356,1.0285,1.0649,0.5532,0.861,-0.0288,0.278,1.411,0.7768,0.852,0.4408,0.6535,0.7187,0.776,0.3659
SERINC2,-0.1,-0.0708,0.2007,0.3455,1.0164,0.2251,0.5428,0.0405,1.0243,0.6606,0.7004,0.0536,0.0706,0.209,0.1189,0.2251,0.3982,0.3082,-0.2449,0.0595,0.7882,0.6193,-0.359,0.202,-0.3661,0.3251,0.1479,0.4046,0.3006,1.1217,0.8691,0.1548
GJB2,-0.0072,-0.064,0.7976,0.8906,1.1601,-0.1957,0.6936,0.4142,1.1055,0.3125,1.7248,-0.0835,0.4228,0.3329,-0.0328,-0.027,0.8537,1.4084,-0.4041,0.7366,0.6285,1.1665,-0.0051,0.2895,0.298,0.8204,-0.0739,0.719,0.2626,0.5821,0.4902,0.3882
CCR8,0.1886,0.0,0.5481,2.4564,0.6186,0.0,0.8806,0.0953,1.7004,0.0,3.2485,0.1064,0.4682,0.0156,0.0883,0.0,0.8644,0.5822,0.6238,0.3976,0.4535,1.4467,0.0,0.1033,0.2684,2.4299,2.947,3.1768,0.4037,0.278,0.0771,0.0
VTCN1,0.0,-0.0137,0.1873,0.3405,0.8522,2.0689,0.0585,0.0,1.8592,0.0112,0.333,-0.0723,-0.1768,-0.0398,-0.0697,0.0371,0.7082,1.6129,-0.0152,-0.0,1.8629,-0.007,0.0,-0.0011,0.0068,0.3256,-0.2049,-0.0137,0.415,2.3578,1.0556,-0.0
SLC44A4,-0.057,-0.2453,-0.0575,0.665,0.1597,0.1357,0.525,0.0004,0.6862,0.0016,-0.1573,-0.3624,-0.3742,0.373,0.0139,0.0004,0.4181,-0.2303,-0.0166,-0.0556,0.5375,0.9796,-0.2248,0.3333,0.2415,0.1475,-0.1153,-0.0944,-0.1191,0.5846,0.1695,-0.0
DSG2,-0.1495,0.1671,0.0738,0.187,1.1887,0.7764,0.6697,0.0597,1.0371,0.1642,0.5327,0.7763,0.4231,0.4508,0.1076,-0.0162,0.5392,0.727,-0.1292,0.3816,0.4393,0.5181,-0.0248,0.369,0.2903,0.5455,0.6037,0.261,0.2951,0.6678,0.4167,-0.1754
CEACAM6,0.088,-0.0,0.914,1.133,1.7782,1.5965,1.7718,-0.0322,1.8204,-0.0082,1.6488,-0.0,-0.0043,-0.0232,-0.0544,-0.0179,0.4665,-0.5603,-0.2192,-0.0492,0.1907,1.9898,-0.0,0.0607,-0.0928,2.1227,0.9116,-0.0537,0.4625,0.3635,0.2136,-0.0
TSPAN1,0.0027,-0.2623,-0.1555,0.5574,0.6843,0.2764,0.4746,0.0095,0.7359,0.085,0.3246,-0.3912,-0.2264,0.2394,-0.0582,0.0006,0.4022,0.2367,-0.1386,-0.1036,0.4662,1.2363,-0.1604,0.42,0.0061,0.1367,-0.3273,-0.1803,0.0537,0.9842,0.3144,-0.11
CLDN1,-0.0,-0.2386,0.252,0.1183,1.1921,0.4073,1.0986,0.0044,0.9175,0.0332,0.8744,-0.1847,0.2917,0.6571,0.0954,-0.0193,0.3908,0.8726,-0.7165,0.5184,0.1366,0.3738,-0.214,0.0087,0.1854,1.0977,-0.0481,0.1841,0.8541,-0.36,-0.3671,-0.0388
SEZ6L2,-0.0081,0.2662,0.4977,0.4723,0.4449,1.4622,0.4489,0.0981,0.935,-0.0811,0.2257,-0.104,0.646,0.8729,0.4627,0.0594,0.5478,0.3536,0.466,0.6637,0.5896,0.3729,0.7872,0.4476,0.6732,0.2787,0.0372,-0.0845,0.5143,0.5191,0.4983,0.6231
SLC6A14,0.0,0.0,0.2295,-0.1252,1.8107,0.9831,1.4193,0.0,1.939,0.0,2.0575,0.0,0.0,0.0,0.0,0.0,0.3376,-0.2131,-0.1885,0.0,0.0123,2.9819,0.0,0.4092,0.0,1.9331,-0.0502,-0.0195,0.2905,0.7813,0.1567,-0.0
EFNA2,-0.0283,0.5316,0.0098,0.0628,0.269,-0.3139,0.784,0.0,0.5874,0.3557,0.029,-0.0334,-0.0209,0.0,-0.2788,0.4109,0.3745,0.1933,0.2364,0.4983,0.3188,2.366,0.0879,0.1492,0.0187,3.4165,0.4578,0.0,0.0029,0.1679,0.7152,1.2569
CDCP1,-0.0949,-0.02,0.2628,0.3971,1.0507,1.1167,0.5474,0.1295,0.898,0.5303,0.8121,0.4775,0.1606,0.2504,0.0198,0.0772,0.3093,0.4119,-0.3544,0.5469,0.7661,0.5762,-0.0266,0.0636,0.4258,0.4377,0.3644,-0.0921,0.1643,0.2995,-0.0738,-0.0
F2RL1,0.3722,-0.0447,-0.0251,0.2864,0.9892,0.5496,0.6433,-0.0212,1.2371,0.5738,0.6951,-0.111,0.2678,0.3718,0.0858,0.269,0.3136,0.377,-0.296,0.2076,0.7388,0.468,-0.0348,0.4509,0.3947,0.3951,0.9907,-0.0781,0.2176,1.096,0.8117,-0.0114
SPINT2,0.5555,-0.2279,0.3016,0.4327,0.6037,1.1182,0.5502,0.2394,0.9877,-0.2504,0.4843,0.1203,0.1016,0.2139,-0.032,-0.2091,0.3018,0.3135,-0.8307,0.0391,0.5848,0.4601,0.2565,0.2825,0.808,0.2345,-0.0623,0.3774,0.1468,0.9927,0.792,-0.7025
CELSR1,0.3029,-0.0751,0.2086,0.4859,0.4629,0.4326,0.4456,0.157,0.6009,0.4976,0.6659,-0.3003,0.1328,0.1721,0.0249,0.0493,0.1202,0.162,-0.1427,0.2103,0.5781,0.777,-0.0087,-0.1582,0.3447,0.0168,0.1536,0.2325,-0.0392,0.6254,0.2808,0.1885
MS4A15,-0.0,0.2443,0.2624,1.9753,0.0631,0.0,0.1915,0.1672,0.3187,0.0,0.0747,0.0,0.0,0.0,0.0,0.0,-1.0943,-0.8365,0.1518,0.0,0.4608,0.0028,0.0,0.052,0.1331,0.4066,-0.0633,0.3729,0.1012,0.5322,1.7238,0.0196
GPR160,0.0309,0.1562,0.0662,0.4188,0.5015,0.6205,0.5516,-0.0759,0.7359,0.3986,0.0164,0.1995,0.172,0.2389,0.1205,0.1681,0.3221,0.0927,0.1449,-0.0069,0.6358,0.2386,0.0526,0.4745,0.3222,0.2854,0.3355,0.2257,0.0312,0.7693,0.4631,-0.1002
GJB1,-0.0,-0.0307,-0.1075,0.0186,0.0,0.0007,1.0277,-0.0122,0.4214,-0.0696,-0.0374,-0.3478,-0.002,0.2318,0.1552,0.1067,0.7436,-0.0095,1.68,-0.0219,1.1294,-0.0389,-0.0066,0.9499,-0.0246,0.3426,-0.4734,-0.0,-0.0205,1.5526,0.3532,0.4701
CXADR,0.0539,-0.0848,0.12,0.3491,1.022,0.3264,0.5911,-0.0,1.1482,0.3631,0.6087,0.1017,0.2855,0.4387,0.2166,0.2332,0.3595,0.4952,-0.3428,0.566,0.7519,0.3094,-0.043,0.2841,0.196,0.2903,0.2381,-0.0228,0.2547,0.6031,0.2795,-0.0847
CXCR3,0.4384,-0.0197,0.1456,0.7321,0.4849,0.2841,0.382,0.4614,0.4099,0.0972,0.4338,0.0217,0.9868,0.2912,0.1906,0.0116,0.4298,0.1811,0.8924,0.6758,0.4129,0.9317,-0.0008,0.0718,0.6562,0.6455,0.9531,1.0364,0.201,0.3256,0.0467,0.0152
SCNN1A,0.2556,-0.2089,-0.2192,0.1157,0.7609,0.2795,0.4414,-0.025,0.8488,-0.0009,0.1786,0.346,-0.6499,0.0328,-0.187,-0.0003,0.0477,-0.1997,-0.2181,0.2463,0.6293,0.3433,-0.0999,-0.2146,0.0426,-0.0951,0.0832,-0.3047,-0.1623,0.7365,0.0799,-0.0818
