gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
ILDR1,ENSG00000145103,2.183,-4.293,6.48,2967,0.742,0.088,0.9999999991596639,1
CLDN3,ENSG00000165215,4.814,-2.388,7.2,4280,0.763,0.084,0.9663865538097594,2
PRSS8,ENSG00000052344,6.189,-1.181,7.37,6139,0.829,0.078,0.9159663857849023,3
CLDN4,ENSG00000189143,7.182,-0.15,7.33,6980,0.847,0.074,0.8823529404349976,4
CDH1,ENSG00000039068,6.32,0.016,6.3,6288,0.912,0.073,0.8739495790975214,5
EPCAM,ENSG00000119888,7.198,1.043,6.15,6900,0.882,0.065,0.8067226883977121,6
SDC1,ENSG00000115884,6.443,0.994,5.45,7377,0.972,0.062,0.7815126043852836,7
CD24,ENSG00000272398,8.341,2.778,5.56,7775,0.963,0.061,0.7731092430478074,8
CRB3,ENSG00000130545,4.601,-0.759,5.36,6090,0.842,0.058,0.7478991590353788,9
TACSTD2,ENSG00000184292,6.489,0.706,5.78,7278,0.813,0.055,0.7226890750229503,10
CLDN7,ENSG00000181885,6.468,2.078,4.39,7641,0.93,0.047,0.6554621843231411,11
RAET1L,ENSG00000155918,-3.047,-9.966,6.92,1376,0.245,0.046,0.6470588229856649,12
CDH3,ENSG00000062038,4.475,0.085,4.39,6168,0.827,0.046,0.6470588229856649,13
IGSF9,ENSG00000085552,2.484,-1.781,4.27,4729,0.736,0.046,0.6470588229856649,14
LAMP3,ENSG00000078081,1.571,-2.466,4.04,4243,0.732,0.045,0.6386554616481888,15
TREM2,ENSG00000095970,3.69,-0.057,3.75,6544,0.959,0.044,0.6302521003107125,16
SERINC2,ENSG00000168528,6.529,2.755,3.77,7807,0.98,0.042,0.6134453776357603,17
GJB2,ENSG00000165474,3.354,-0.711,4.06,6682,0.842,0.042,0.6134453776357603,18
CCR8,ENSG00000179934,-2.548,-9.966,7.42,585,0.137,0.042,0.6134453776357603,19
VTCN1,ENSG00000134258,-0.492,-4.608,4.12,2069,0.462,0.042,0.6134453776357603,20
SLC44A4,ENSG00000204385,2.868,-1.47,4.34,4986,0.668,0.041,0.6050420162982841,21
DSG2,ENSG00000046604,4.788,1.118,3.67,6431,0.881,0.04,0.5966386549608079,22
CEACAM6,ENSG00000086548,1.148,-3.047,4.19,3686,0.563,0.039,0.5882352936233318,23
TSPAN1,ENSG00000117472,5.348,1.512,3.84,7486,0.881,0.039,0.5882352936233318,24
CLDN1,ENSG00000163347,4.328,0.547,3.78,7049,0.86,0.039,0.5882352936233318,25
SEZ6L2,ENSG00000174938,4.42,0.896,3.52,7284,0.939,0.039,0.5882352936233318,26
SLC6A14,ENSG00000268104,-2.114,-6.506,4.39,1810,0.368,0.038,0.5798319322858556,27
EFNA2,ENSG00000099617,-3.047,-9.966,6.92,2407,0.265,0.037,0.5714285709483794,28
CDCP1,ENSG00000163814,3.321,-0.267,3.59,6465,0.833,0.037,0.5714285709483794,29
F2RL1,ENSG00000164251,3.075,-0.166,3.24,6220,0.873,0.036,0.5630252096109033,30
SPINT2,ENSG00000167642,8.748,5.584,3.16,7830,0.996,0.036,0.5630252096109033,31
CELSR1,ENSG00000075275,3.575,0.412,3.16,6532,0.889,0.035,0.5546218482734271,32
MS4A15,ENSG00000166961,-4.293,-9.966,5.67,817,0.165,0.033,0.5378151255984748,33
GPR160,ENSG00000173890,3.492,0.368,3.12,7622,0.912,0.033,0.5378151255984748,34
GJB1,ENSG00000169562,1.331,-2.388,3.72,4009,0.562,0.033,0.5378151255984748,35
CXADR,ENSG00000154639,3.605,0.927,2.68,5802,0.927,0.033,0.5378151255984748,36
CXCR3,ENSG00000186810,0.537,-2.826,3.36,3769,0.6,0.033,0.5378151255984748,37
SCNN1A,ENSG00000111319,4.929,1.595,3.33,7273,0.825,0.032,0.5294117642609986,38
SLC34A2,ENSG00000157765,0.215,-3.171,3.39,3381,0.512,0.03,0.5126050415860463,39
SLAMF7,ENSG00000026751,1.832,-1.149,2.98,5669,0.76,0.03,0.5126050415860463,40
FOLR1,ENSG00000110195,1.604,-1.685,3.29,5031,0.634,0.029,0.50420168024857,41
FCAMR,ENSG00000162897,-4.608,-9.966,5.36,647,0.137,0.029,0.50420168024857,42
OLR1,ENSG00000173391,1.816,-1.149,2.96,5744,0.751,0.029,0.50420168024857,43
UNC93A,ENSG00000112494,-4.293,-9.966,5.67,1301,0.182,0.029,0.50420168024857,44
PTK7,ENSG00000112655,5.455,2.911,2.54,7727,0.984,0.028,0.4957983189110939,45
CACNG4,ENSG00000075461,0.614,-2.635,3.25,4135,0.55,0.028,0.4957983189110939,46
TNFRSF9,ENSG00000049249,-1.133,-5.012,3.88,1684,0.301,0.028,0.4957983189110939,47
SLC12A8,ENSG00000221955,3.007,0.497,2.51,7221,0.907,0.027,0.48739495757361767,48
ABCA12,ENSG00000144452,-2.727,-6.506,3.78,1550,0.284,0.027,0.48739495757361767,49
GPR39,ENSG00000183840,1.164,-1.685,2.85,4932,0.677,0.027,0.48739495757361767,50
CD2,ENSG00000116824,2.404,-0.166,2.57,6358,0.84,0.027,0.48739495757361767,51
GPRC5A,ENSG00000013588,4.477,1.795,2.68,6845,0.822,0.027,0.48739495757361767,52
PIGR,ENSG00000162896,0.99,-2.245,3.23,4494,0.566,0.027,0.48739495757361767,53
CD3D,ENSG00000167286,2.657,0.178,2.48,6713,0.863,0.026,0.4789915962361415,54
HLA-DQB2,ENSG00000232629,2.245,-0.284,2.53,6031,0.809,0.026,0.4789915962361415,55
PROM2,ENSG00000155066,4.04,1.078,2.96,7459,0.748,0.026,0.4789915962361415,56
TMEM184A,ENSG00000164855,2.675,0.044,2.63,6745,0.802,0.026,0.4789915962361415,57
DSC2,ENSG00000134755,3.131,0.547,2.58,7377,0.866,0.026,0.4789915962361415,58
LYPD6B,ENSG00000150556,1.727,-1.214,2.94,5081,0.632,0.026,0.4789915962361415,59
FCGR1A,ENSG00000150337,3.541,1.202,2.34,7230,0.961,0.026,0.4789915962361415,60
MUC1,ENSG00000185499,6.323,4.022,2.3,7822,0.952,0.025,0.4705882348986654,61
GJB3,ENSG00000188910,0.8,-2.315,3.11,4636,0.555,0.025,0.4705882348986654,62
RNF43,ENSG00000108375,2.491,0.126,2.37,6067,0.82,0.025,0.4705882348986654,63
SLCO1B3,ENSG00000111700,-5.574,-9.966,4.39,1095,0.19,0.025,0.4705882348986654,64
HLA-DQA2,ENSG00000237541,2.293,-0.134,2.43,5813,0.789,0.025,0.4705882348986654,65
LRP2,ENSG00000081479,-1.994,-5.574,3.58,2838,0.378,0.025,0.4705882348986654,66
FPR3,ENSG00000187474,2.372,0.099,2.27,6503,0.875,0.025,0.4705882348986654,67
HLA-DQA1,ENSG00000196735,5.33,3.118,2.21,7507,0.984,0.025,0.4705882348986654,68
TMPRSS13,ENSG00000137747,0.888,-2.178,3.07,4974,0.573,0.025,0.4705882348986654,69
FCGR3A,ENSG00000203747,4.553,2.373,2.18,7574,0.985,0.025,0.4705882348986654,70
CD1A,ENSG00000158477,-2.466,-6.506,4.04,1490,0.243,0.025,0.4705882348986654,71
CD52,ENSG00000169442,5.19,3.039,2.15,7711,0.99,0.024,0.4621848735611892,72
TMEM132A,ENSG00000006118,4.784,2.674,2.11,7694,0.991,0.024,0.4621848735611892,73
ITGB6,ENSG00000115221,2.833,0.335,2.5,6449,0.786,0.024,0.4621848735611892,74
TNFSF15,ENSG00000181634,-0.347,-3.458,3.11,3234,0.439,0.024,0.4621848735611892,75
CD48,ENSG00000117091,3.118,0.919,2.2,7316,0.931,0.024,0.4621848735611892,76
ZP3,ENSG00000188372,3.3,1.246,2.05,7651,0.966,0.023,0.45378151222371305,77
CD27,ENSG00000139193,1.88,-0.512,2.39,6971,0.786,0.023,0.45378151222371305,78
TNFRSF21,ENSG00000146072,4.871,2.878,1.99,7657,0.994,0.023,0.45378151222371305,79
IGSF3,ENSG00000143061,3.011,0.896,2.11,7332,0.944,0.023,0.45378151222371305,80
NETO2,ENSG00000171208,2.919,0.732,2.19,7747,0.916,0.023,0.45378151222371305,81
IL2RG,ENSG00000147168,3.899,1.8,2.1,7700,0.958,0.023,0.45378151222371305,82
ERBB3,ENSG00000065361,5.467,3.3,2.17,7512,0.939,0.023,0.45378151222371305,83
CD79A,ENSG00000105369,1.334,-1.355,2.69,6377,0.649,0.022,0.4453781508862369,84
HLA-DRA,ENSG00000204287,8.872,6.948,1.92,7834,1.0,0.022,0.4453781508862369,85
EFNA3,ENSG00000143590,2.749,0.723,2.03,7719,0.966,0.022,0.4453781508862369,86
HLA-H,ENSG00000206341,5.23,3.299,1.93,7761,0.995,0.022,0.4453781508862369,87
F11R,ENSG00000158769,5.893,3.935,1.96,7833,0.999,0.022,0.4453781508862369,88
PODXL2,ENSG00000114631,4.131,1.979,2.15,7789,0.919,0.022,0.4453781508862369,89
EFNA4,ENSG00000243364,3.842,1.812,2.03,7807,0.978,0.022,0.4453781508862369,90
MUC16,ENSG00000181143,-2.548,-5.574,3.03,1951,0.321,0.022,0.4453781508862369,91
LYPD1,ENSG00000150551,1.322,-0.941,2.26,6045,0.744,0.022,0.4453781508862369,92
MET,ENSG00000105976,3.673,1.696,1.98,7180,0.884,0.021,0.43697478954876073,93
HLA-DRB5,ENSG00000198502,5.092,3.216,1.88,7592,0.985,0.021,0.43697478954876073,94
SLC52A3,ENSG00000101276,2.151,-0.072,2.22,6639,0.753,0.021,0.43697478954876073,95
TMEM171,ENSG00000157111,0.455,-2.178,2.63,4661,0.544,0.021,0.43697478954876073,96
HLA-DQB1,ENSG00000179344,5.769,3.945,1.82,7670,0.988,0.021,0.43697478954876073,97
SIRPG,ENSG00000089012,0.19,-2.388,2.58,4492,0.537,0.021,0.43697478954876073,98
GPR143,ENSG00000101850,1.311,-0.808,2.12,5302,0.725,0.021,0.43697478954876073,99
IGSF6,ENSG00000140749,1.864,-0.183,2.05,7496,0.885,0.021,0.43697478954876073,100
HLA-DMB,ENSG00000242574,5.524,3.736,1.79,7663,0.998,0.02,0.4285714282112846,101
ADAM12,ENSG00000148848,0.88,-1.639,2.52,5731,0.605,0.02,0.4285714282112846,102
CCR5,ENSG00000160791,0.701,-1.595,2.3,5511,0.645,0.02,0.4285714282112846,103
GPR87,ENSG00000138271,-2.114,-4.608,2.49,2029,0.367,0.02,0.4285714282112846,104
EPHB3,ENSG00000182580,3.354,1.368,1.99,7343,0.868,0.02,0.4285714282112846,105
SLC39A4,ENSG00000147804,5.563,3.782,1.78,7825,0.991,0.02,0.4285714282112846,106
LAMP5,ENSG00000125869,0.934,-1.47,2.4,5492,0.622,0.02,0.4285714282112846,107
CD74,ENSG00000019582,10.53,8.78,1.75,7835,1.0,0.02,0.4285714282112846,108
LRRC15,ENSG00000172061,-0.913,-3.626,2.71,3246,0.43,0.02,0.4285714282112846,109
SLC12A5,ENSG00000124140,1.872,0.016,1.86,7004,0.855,0.019,0.4201680668738084,110
ITGA2,ENSG00000164171,2.296,0.288,2.01,6982,0.81,0.019,0.4201680668738084,111
CD68,ENSG00000129226,6.386,4.734,1.65,7818,0.999,0.019,0.4201680668738084,112
CXCL16,ENSG00000161921,5.577,3.921,1.66,7834,1.0,0.019,0.4201680668738084,113
ANO9,ENSG00000185101,2.772,0.873,1.9,6854,0.821,0.019,0.4201680668738084,114
DDR1,ENSG00000204580,6.816,5.11,1.71,7816,0.994,0.019,0.4201680668738084,115
IL2RB,ENSG00000100385,1.571,-0.492,2.06,6728,0.771,0.019,0.4201680668738084,116
CNTNAP2,ENSG00000174469,-0.512,-3.047,2.53,3684,0.46,0.019,0.4201680668738084,117
CD86,ENSG00000114013,2.098,0.252,1.85,7153,0.886,0.019,0.4201680668738084,118
CXCR4,ENSG00000121966,5.168,3.505,1.66,7632,0.999,0.019,0.4201680668738084,119
HLA-DPA1,ENSG00000231389,7.189,5.585,1.6,7835,1.0,0.018,0.4117647055363322,120
THY1,ENSG00000154096,6.036,4.484,1.55,7613,1.0,0.018,0.4117647055363322,121
BST2,ENSG00000130303,7.071,5.449,1.62,7835,1.0,0.018,0.4117647055363322,122
CD1B,ENSG00000158485,-3.308,-9.966,6.66,1264,0.098,0.018,0.4117647055363322,123
TREM1,ENSG00000124731,1.647,-0.357,2.0,6926,0.732,0.018,0.4117647055363322,124
CA12,ENSG00000074410,3.326,1.501,1.83,7034,0.847,0.018,0.4117647055363322,125
PLAUR,ENSG00000011422,4.751,3.172,1.58,7835,0.992,0.018,0.4117647055363322,126
TSPAN13,ENSG00000106537,5.301,3.704,1.6,7709,0.987,0.018,0.4117647055363322,127
CD3G,ENSG00000160654,0.099,-2.178,2.28,4575,0.522,0.018,0.4117647055363322,128
ITGB2,ENSG00000160255,4.918,3.305,1.61,7833,0.997,0.018,0.4117647055363322,129
TNFSF11,ENSG00000120659,-1.938,-5.012,3.07,1429,0.222,0.018,0.4117647055363322,130
NUP210,ENSG00000132182,3.281,1.688,1.59,7553,0.973,0.018,0.4117647055363322,131
HLA-DPB1,ENSG00000223865,7.152,5.596,1.56,7835,1.0,0.018,0.4117647055363322,132
UGT8,ENSG00000174607,0.919,-1.283,2.2,5162,0.577,0.018,0.4117647055363322,133
HLA-DOA,ENSG00000204252,2.824,1.227,1.6,7464,0.914,0.017,0.40336134419885605,134
SIT1,ENSG00000137078,0.507,-1.51,2.02,5338,0.599,0.017,0.40336134419885605,135
ALPP,ENSG00000163283,-6.506,-9.966,3.46,591,0.121,0.017,0.40336134419885605,136
MUC15,ENSG00000169550,-2.114,-4.608,2.49,2732,0.348,0.017,0.40336134419885605,137
RNF128,ENSG00000133135,2.055,0.178,1.88,5636,0.674,0.017,0.40336134419885605,138
CHRNA5,ENSG00000169684,1.158,-0.913,2.07,6889,0.675,0.017,0.40336134419885605,139
HLA-DRB1,ENSG00000196126,7.463,5.919,1.54,7802,1.0,0.017,0.40336134419885605,140
EPHB2,ENSG00000133216,2.033,0.288,1.74,7095,0.822,0.017,0.40336134419885605,141
MSR1,ENSG00000038945,2.816,1.258,1.56,7537,0.927,0.017,0.40336134419885605,142
ITGB4,ENSG00000132470,5.797,4.31,1.49,7812,0.994,0.017,0.40336134419885605,143
TIGIT,ENSG00000181847,0.085,-2.245,2.33,4802,0.516,0.017,0.40336134419885605,144
CYBB,ENSG00000165168,3.032,1.423,1.61,7559,0.935,0.017,0.40336134419885605,145
PTAFR,ENSG00000169403,2.131,0.466,1.67,7311,0.866,0.017,0.40336134419885605,146
IL22RA1,ENSG00000142677,0.152,-2.053,2.2,4701,0.519,0.017,0.40336134419885605,147
CLDN8,ENSG00000156284,-4.035,-6.506,2.47,1971,0.305,0.017,0.40336134419885605,148
RPN1,ENSG00000163902,7.532,6.029,1.5,7835,1.0,0.017,0.40336134419885605,149
EFNA1,ENSG00000169242,6.412,4.99,1.42,7810,1.0,0.016,0.3949579828613799,150
TGFA,ENSG00000163235,2.354,0.652,1.7,6759,0.794,0.016,0.3949579828613799,151
CD300LF,ENSG00000186074,0.576,-1.392,1.97,6076,0.636,0.016,0.3949579828613799,152
CEACAM1,ENSG00000079385,2.795,1.158,1.64,7413,0.824,0.016,0.3949579828613799,153
TLR7,ENSG00000196664,-0.452,-2.826,2.37,3913,0.413,0.016,0.3949579828613799,154
GJB4,ENSG00000189433,-3.458,-5.574,2.12,1364,0.274,0.016,0.3949579828613799,155
SLC2A1,ENSG00000117394,6.279,4.842,1.44,7834,0.992,0.016,0.3949579828613799,156
IL2RA,ENSG00000134460,0.03,-2.114,2.14,4552,0.505,0.016,0.3949579828613799,157
TRPV4,ENSG00000111199,1.112,-0.735,1.85,6222,0.692,0.016,0.3949579828613799,158
SELPLG,ENSG00000110876,3.313,1.86,1.45,7828,0.977,0.016,0.3949579828613799,159
TSPAN6,ENSG00000000003,4.879,3.454,1.42,7422,0.997,0.016,0.3949579828613799,160
PTPRF,ENSG00000142949,6.344,4.911,1.43,7761,0.998,0.016,0.3949579828613799,161
MSLN,ENSG00000102854,0.455,-1.732,2.19,5104,0.536,0.016,0.3949579828613799,162
P2RY6,ENSG00000171631,1.465,-0.199,1.66,7060,0.788,0.016,0.3949579828613799,163
CD4,ENSG00000010610,4.084,2.651,1.43,7816,0.995,0.016,0.3949579828613799,164
SLC5A1,ENSG00000100170,-0.913,-3.171,2.26,3523,0.432,0.016,0.3949579828613799,165
SLC15A1,ENSG00000088386,-1.831,-4.293,2.46,2607,0.329,0.016,0.3949579828613799,166
ERVMER34-1,ENSG00000226887,-0.32,-2.635,2.31,4298,0.443,0.016,0.3949579828613799,167
CD164L2,ENSG00000174950,-1.026,-3.626,2.6,3397,0.367,0.016,0.3949579828613799,168
CCR1,ENSG00000163823,1.656,0.072,1.58,7175,0.822,0.015,0.3865546215239037,169
SUSD4,ENSG00000143502,2.571,0.964,1.61,7131,0.794,0.015,0.3865546215239037,170
MFSD6L,ENSG00000185156,-1.552,-3.816,2.26,2937,0.359,0.015,0.3865546215239037,171
FLRT3,ENSG00000125848,1.602,-0.072,1.67,6303,0.725,0.015,0.3865546215239037,172
SELL,ENSG00000188404,1.938,0.423,1.51,7560,0.844,0.015,0.3865546215239037,173
HLA-A,ENSG00000206503,9.735,8.442,1.29,7835,1.0,0.015,0.3865546215239037,174
ATP1B1,ENSG00000143153,6.861,5.567,1.29,7788,0.998,0.015,0.3865546215239037,175
LYPD3,ENSG00000124466,1.953,0.126,1.83,7621,0.732,0.015,0.3865546215239037,176
RHBDL2,ENSG00000158315,1.164,-0.492,1.66,6610,0.718,0.015,0.3865546215239037,177
TNFRSF18,ENSG00000186891,1.401,-0.302,1.7,6645,0.736,0.015,0.3865546215239037,178
LPAR5,ENSG00000184574,1.742,0.139,1.6,7067,0.806,0.015,0.3865546215239037,179
PTCRA,ENSG00000171611,-2.466,-9.966,7.5,1753,0.082,0.015,0.3865546215239037,180
GGT1,ENSG00000100031,3.997,2.618,1.38,7835,0.977,0.015,0.3865546215239037,181
SLAMF8,ENSG00000158714,2.406,0.957,1.45,7582,0.893,0.015,0.3865546215239037,182
SPN,ENSG00000197471,1.125,-0.512,1.64,6935,0.746,0.015,0.3865546215239037,183
SLC9A7,ENSG00000065923,2.053,0.661,1.39,7667,0.916,0.015,0.3865546215239037,184
SLC44A3,ENSG00000143036,3.077,1.736,1.34,7152,0.955,0.015,0.3865546215239037,185
SUSD3,ENSG00000157303,2.42,0.972,1.45,7540,0.903,0.015,0.3865546215239037,186
CD276,ENSG00000103855,6.0,4.715,1.28,7652,1.0,0.015,0.3865546215239037,187
RTN4R,ENSG00000040608,2.125,0.8,1.32,7455,0.91,0.014,0.37815126018642753,188
FZD2,ENSG00000180340,1.633,0.215,1.42,7322,0.83,0.014,0.37815126018642753,189
LY75,ENSG00000054219,2.115,0.586,1.53,7404,0.796,0.014,0.37815126018642753,190
HLA-DMA,ENSG00000204257,5.986,4.742,1.24,7835,1.0,0.014,0.37815126018642753,191
KLRB1,ENSG00000111796,0.3,-1.51,1.81,5315,0.559,0.014,0.37815126018642753,192
CD7,ENSG00000173762,2.108,0.715,1.39,7575,0.856,0.014,0.37815126018642753,193
HCAR1,ENSG00000196917,-1.552,-3.626,2.07,2939,0.353,0.014,0.37815126018642753,194
OPN3,ENSG00000054277,3.454,2.221,1.23,7832,0.99,0.014,0.37815126018642753,195
SSR1,ENSG00000124783,5.888,4.69,1.2,7835,1.0,0.014,0.37815126018642753,196
GABRD,ENSG00000187730,0.099,-1.884,1.98,5620,0.519,0.014,0.37815126018642753,197
TMEM182,ENSG00000170417,1.527,0.178,1.35,7594,0.908,0.014,0.37815126018642753,198
LY6E,ENSG00000160932,7.959,6.759,1.2,7835,1.0,0.014,0.37815126018642753,199
MST1R,ENSG00000164078,2.79,1.196,1.59,7579,0.748,0.014,0.37815126018642753,200
KREMEN2,ENSG00000131650,-0.997,-3.308,2.31,3633,0.363,0.014,0.37815126018642753,201
HAVCR2,ENSG00000135077,2.308,0.934,1.37,7671,0.901,0.014,0.37815126018642753,202
SERINC5,ENSG00000164300,3.612,2.325,1.29,7829,0.988,0.014,0.37815126018642753,203
ULBP2,ENSG00000131015,0.423,-1.43,1.85,6028,0.572,0.014,0.37815126018642753,204
TTYH3,ENSG00000136295,5.108,3.877,1.23,7835,1.0,0.014,0.37815126018642753,205
ICAM3,ENSG00000076662,4.039,2.797,1.24,7832,0.995,0.014,0.37815126018642753,206
MPZL2,ENSG00000149573,4.847,3.557,1.29,7646,0.937,0.014,0.37815126018642753,207
IL21R,ENSG00000103522,-0.013,-2.053,2.04,5378,0.499,0.014,0.37815126018642753,208
HLA-B,ENSG00000234745,10.044,8.794,1.25,7835,1.0,0.014,0.37815126018642753,209
ADAM10,ENSG00000137845,5.115,3.954,1.16,7835,1.0,0.013,0.3697478988489514,210
ITGAL,ENSG00000005844,2.043,0.758,1.29,7632,0.865,0.013,0.3697478988489514,211
MPZL3,ENSG00000160588,2.131,0.816,1.31,7513,0.85,0.013,0.3697478988489514,212
TNFRSF4,ENSG00000186827,1.683,0.38,1.3,7491,0.868,0.013,0.3697478988489514,213
EBP,ENSG00000147155,5.983,4.842,1.14,7835,1.0,0.013,0.3697478988489514,214
TMEM123,ENSG00000152558,6.578,5.432,1.15,7835,1.0,0.013,0.3697478988489514,215
CCR6,ENSG00000112486,-1.165,-3.626,2.46,3042,0.286,0.013,0.3697478988489514,216
ICOS,ENSG00000163600,-1.43,-4.035,2.6,2650,0.257,0.013,0.3697478988489514,217
VCAM1,ENSG00000162692,3.084,1.848,1.24,7518,0.937,0.013,0.3697478988489514,218
LMAN2,ENSG00000169223,7.281,6.107,1.17,7835,1.0,0.013,0.3697478988489514,219
MPEG1,ENSG00000197629,2.418,1.252,1.17,7363,0.924,0.013,0.3697478988489514,220
CD5,ENSG00000110448,0.264,-1.47,1.73,5844,0.552,0.013,0.3697478988489514,221
ICAM1,ENSG00000090339,4.656,3.489,1.17,7834,0.996,0.013,0.3697478988489514,222
SLC31A1,ENSG00000136868,3.787,2.672,1.12,7835,0.999,0.013,0.3697478988489514,223
CD180,ENSG00000134061,-0.394,-2.466,2.07,4429,0.409,0.013,0.3697478988489514,224
PTGFRN,ENSG00000134247,5.035,3.89,1.15,7611,0.997,0.013,0.3697478988489514,225
SLC7A5,ENSG00000103257,4.457,3.294,1.16,7835,0.976,0.013,0.3697478988489514,226
CD96,ENSG00000153283,1.008,-0.492,1.5,6187,0.694,0.013,0.3697478988489514,227
HM13,ENSG00000101294,7.385,6.201,1.18,7835,1.0,0.013,0.3697478988489514,228
CEACAM5,ENSG00000105388,-1.552,-3.308,1.76,3498,0.431,0.013,0.3697478988489514,229
ULBP3,ENSG00000131019,-0.013,-1.938,1.92,5109,0.499,0.013,0.3697478988489514,230
AMN,ENSG00000166126,0.732,-1.086,1.82,6062,0.554,0.013,0.3697478988489514,231
CD14,ENSG00000170458,5.423,4.242,1.18,7830,0.999,0.013,0.3697478988489514,232
CXCR6,ENSG00000172215,0.736,-0.941,1.68,6373,0.64,0.013,0.3697478988489514,233
F2R,ENSG00000181104,3.694,2.514,1.18,7666,0.979,0.013,0.3697478988489514,234
ALCAM,ENSG00000170017,4.698,3.55,1.15,7801,0.985,0.013,0.3697478988489514,235
TMEM9,ENSG00000116857,6.538,5.389,1.15,7835,1.0,0.013,0.3697478988489514,236
CD47,ENSG00000196776,6.316,5.133,1.18,7835,1.0,0.013,0.3697478988489514,237
SLC40A1,ENSG00000138449,5.13,3.952,1.18,7765,0.994,0.013,0.3697478988489514,238
HTR1D,ENSG00000179546,-2.826,-5.574,2.75,1499,0.174,0.012,0.36134453751147516,239
CD300A,ENSG00000167851,2.519,1.449,1.07,7591,0.953,0.012,0.36134453751147516,240
TMEM37,ENSG00000171227,2.825,1.692,1.13,7402,0.94,0.012,0.36134453751147516,241
CSF2RA,ENSG00000198223,2.208,1.043,1.16,7456,0.906,0.012,0.36134453751147516,242
SLC44A5,ENSG00000137968,0.099,-1.639,1.74,5540,0.512,0.012,0.36134453751147516,243
SLAMF9,ENSG00000162723,-1.831,-4.293,2.46,2251,0.234,0.012,0.36134453751147516,244
CD8B,ENSG00000172116,0.845,-0.642,1.49,6618,0.655,0.012,0.36134453751147516,245
DPP4,ENSG00000197635,2.064,0.749,1.31,7047,0.755,0.012,0.36134453751147516,246
CD1E,ENSG00000158488,-0.783,-2.826,2.04,3761,0.367,0.012,0.36134453751147516,247
CD83,ENSG00000112149,2.926,1.824,1.1,7778,0.988,0.012,0.36134453751147516,248
HLA-G,ENSG00000204632,-0.302,-2.178,1.88,4919,0.449,0.012,0.36134453751147516,249
CELSR2,ENSG00000143126,3.405,2.308,1.1,7578,0.952,0.012,0.36134453751147516,250
SLC39A6,ENSG00000141424,5.024,3.931,1.09,7826,0.999,0.012,0.36134453751147516,251
CADM1,ENSG00000182985,3.854,2.734,1.12,7584,0.956,0.012,0.36134453751147516,252
SLC15A3,ENSG00000110446,5.283,4.195,1.09,7814,1.0,0.012,0.36134453751147516,253
SLC1A5,ENSG00000105281,6.139,5.038,1.1,7832,0.999,0.012,0.36134453751147516,254
LAMP2,ENSG00000005893,6.508,5.482,1.03,7834,1.0,0.012,0.36134453751147516,255
IL27RA,ENSG00000104998,2.384,1.258,1.13,7831,0.949,0.012,0.36134453751147516,256
SLC52A2,ENSG00000185803,5.45,4.351,1.1,7835,1.0,0.012,0.36134453751147516,257
EPHA10,ENSG00000183317,-0.357,-2.178,1.82,4611,0.455,0.012,0.36134453751147516,258
DCSTAMP,ENSG00000164935,-1.47,-4.035,2.57,2748,0.252,0.012,0.36134453751147516,259
CD6,ENSG00000013725,1.022,-0.32,1.34,6837,0.711,0.012,0.36134453751147516,260
SLC9A2,ENSG00000115616,-1.43,-3.458,2.03,3488,0.338,0.012,0.36134453751147516,261
UNC5B,ENSG00000107731,3.089,2.004,1.09,7423,0.956,0.012,0.36134453751147516,262
C3AR1,ENSG00000171860,2.611,1.512,1.1,7609,0.925,0.012,0.36134453751147516,263
FOLH1,ENSG00000086205,1.061,-0.284,1.35,6372,0.728,0.012,0.36134453751147516,264
PMEPA1,ENSG00000124225,4.658,3.605,1.05,7703,0.978,0.012,0.36134453751147516,265
CD70,ENSG00000125726,-0.472,-2.388,1.92,4523,0.425,0.012,0.36134453751147516,266
FGFR3,ENSG00000068078,3.08,1.828,1.25,7469,0.85,0.012,0.36134453751147516,267
TSPAN33,ENSG00000158457,3.836,2.755,1.08,7773,0.996,0.012,0.36134453751147516,268
TMEM106B,ENSG00000106460,4.292,3.197,1.09,7831,0.998,0.012,0.36134453751147516,269
TNFSF13B,ENSG00000102524,1.816,0.605,1.21,7742,0.846,0.012,0.36134453751147516,270
SLCO1A2,ENSG00000084453,-3.308,-5.574,2.27,2349,0.247,0.012,0.36134453751147516,271
CD9,ENSG00000010278,8.593,7.56,1.03,7835,1.0,0.012,0.36134453751147516,272
APLNR,ENSG00000134817,2.486,1.368,1.12,7008,0.869,0.012,0.36134453751147516,273
FCGR2A,ENSG00000143226,4.183,3.108,1.07,7854,0.992,0.012,0.36134453751147516,274
CHRNA1,ENSG00000138435,-1.831,-4.293,2.46,2476,0.226,0.011,0.352941176173999,275
LILRA4,ENSG00000239961,-1.248,-3.308,2.06,3441,0.302,0.011,0.352941176173999,276
GABRA3,ENSG00000011677,-4.608,-6.506,1.9,2240,0.266,0.011,0.352941176173999,277
ERBB2,ENSG00000141736,5.694,4.715,0.98,7826,0.998,0.011,0.352941176173999,278
CD82,ENSG00000085117,5.51,4.565,0.95,7835,0.998,0.011,0.352941176173999,279
HLA-C,ENSG00000204525,9.322,8.328,0.99,7835,1.0,0.011,0.352941176173999,280
ACE,ENSG00000159640,3.22,2.233,0.99,7755,0.975,0.011,0.352941176173999,281
