gene	uniprot_id	pdb_file
HLA-DRA	P01903	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01903-F1-model_v6.pdb
HLA-H	P01893	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01893-F1-model_v6.pdb
PODXL2	Q9NZ53	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NZ53-F1-model_v6.pdb
HLA-DQA2	P01906	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01906-F1-model_v6.pdb
TMEM184A	Q6ZMB5	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ZMB5-F1-model_v6.pdb
GJB1	P08034	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08034-F1-model_v6.pdb
HLA-DRB5	Q30154	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q30154-F1-model_v6.pdb
CXCR3	P49682	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49682-F1-model_v6.pdb
PROM2	Q8N271	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N271-F1-model_v6.pdb
RNF43	Q68DV7	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q68DV7-F1-model_v6.pdb
SLC6A14	Q9UN76	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UN76-F1-model_v6.pdb
GPR39	O43194	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43194-F1-model_v6.pdb
VTCN1	Q7Z7D3	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7Z7D3-F1-model_v6.pdb
HLA-DQB1	P01920	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01920-F1-model_v6.pdb
ITGB6	P18564	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P18564-F1-model_v6.pdb
HLA-DMB	P28068	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P28068-F1-model_v6.pdb
FOLR1	P15328	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P15328-F1-model_v6.pdb
SLC39A4	Q6P5W5	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6P5W5-F1-model_v6.pdb
CD74	P04233	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04233-F1-model_v6.pdb
IGSF6	O95976	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95976-F1-model_v6.pdb
CD27	P26842	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P26842-F1-model_v6.pdb
MET	P08581	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08581-F1-model_v6.pdb
DDR1	Q08345	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08345-F1-model_v6.pdb
CXCR4	P61073	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P61073-F1-model_v6.pdb
CXCL16	Q9H2A7	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H2A7-F1-model_v6.pdb
CD68	P34810	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P34810-F1-model_v6.pdb
LYPD6B	Q8NI32	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NI32-F1-model_v6.pdb
BST2	Q10589	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q10589-F1-model_v6.pdb
ITGB2	P05107	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05107-F1-model_v6.pdb
HLA-DPA1	P20036	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P20036-F1-model_v6.pdb
EPHB3	P54753	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P54753-F1-model_v6.pdb
LYPD1	Q8N2G4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N2G4-F1-model_v6.pdb
CD86	P42081	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P42081-F1-model_v6.pdb
PIGR	P01833	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01833-F1-model_v6.pdb
SLC12A5	Q9H2X9	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H2X9-F1-model_v6.pdb
TSPAN13	O95857	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95857-F1-model_v6.pdb
PLAUR	Q03405	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q03405-F1-model_v6.pdb
NUP210	Q8TEM1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TEM1-F1-model_v6.pdb
THY1	P04216	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04216-F1-model_v6.pdb
HLA-DPB1	P04440	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04440-F1-model_v6.pdb
GPR143	P51810	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51810-F1-model_v6.pdb
CACNG4	Q9UBN1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UBN1-F1-model_v6.pdb
RPN1	P04843	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04843-F1-model_v6.pdb
CYBB	P04839	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P04839-F1-model_v6.pdb
ITGA2	P17301	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P17301-F1-model_v6.pdb
ITGB4	P16144	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16144-F1-model_v6.pdb
SLC52A3	Q9NQ40	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NQ40-F1-model_v6.pdb
CD79A	P11912	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P11912-F1-model_v6.pdb
CA12	O43570	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43570-F1-model_v6.pdb
HLA-DOA	P06340	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06340-F1-model_v6.pdb
IL2RB	P14784	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P14784-F1-model_v6.pdb
TSPAN6	O43657	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43657-F1-model_v6.pdb
PTPRF	P10586	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P10586-F1-model_v6.pdb
CD4	P01730	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01730-F1-model_v6.pdb
ANO9	A1A5B4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-A1A5B4-F1-model_v6.pdb
MSR1	P21757	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21757-F1-model_v6.pdb
EFNA1	P20827	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P20827-F1-model_v6.pdb
SLC2A1	P11166	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P11166-F1-model_v6.pdb
SELPLG	Q14242	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14242-F1-model_v6.pdb
TMPRSS13	Q9BYE2	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BYE2-F1-model_v6.pdb
SLC34A2	O95436	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95436-F1-model_v6.pdb
RAET1L	Q5VY80	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5VY80-F1-model_v6.pdb
GJB3	O75712	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75712-F1-model_v6.pdb
PTAFR	P25105	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P25105-F1-model_v6.pdb
GGT1	P19440	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P19440-F1-model_v6.pdb
EFNA2	O43921	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43921-F1-model_v6.pdb
EPHB2	P29323	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29323-F1-model_v6.pdb
ATP1B1	P05026	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05026-F1-model_v6.pdb
CD276	Q5ZPR3	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5ZPR3-F1-model_v6.pdb
TREM1	Q9NP99	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NP99-F1-model_v6.pdb
