gene,uniprot_id,pdb_file
CD6,P30203,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P30203-F1-model_v6.pdb
EMB,Q6PCB8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6PCB8-F1-model_v6.pdb
MS4A6A,Q9H2W1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H2W1-F1-model_v6.pdb
TNFRSF9,Q07011,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q07011-F1-model_v6.pdb
AMN,Q9BXJ7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BXJ7-F1-model_v6.pdb
CD8A,P01732,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01732-F1-model_v6.pdb
ULBP2,Q9BZM5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BZM5-F1-model_v6.pdb
CD8B,P10966,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P10966-F1-model_v6.pdb
KLRB1,Q12918,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q12918-F1-model_v6.pdb
ITGB8,P26012,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P26012-F1-model_v6.pdb
SORL1,Q92673,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q92673-F1-model_v6.pdb
SECTM1,Q8WVN6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WVN6-F1-model_v6.pdb
LPAR2,Q9HBW0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HBW0-F1-model_v6.pdb
LAIR1,Q6GTX8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6GTX8-F1-model_v6.pdb
NOX4,Q9NPH5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPH5-F1-model_v6.pdb
BACE2,Q9Y5Z0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5Z0-F1-model_v6.pdb
TNFRSF10A,O00220,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00220-F1-model_v6.pdb
P2RX4,Q99571,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q99571-F1-model_v6.pdb
FAM174B,Q3ZCQ3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q3ZCQ3-F1-model_v6.pdb
BTN3A2,P78410,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78410-F1-model_v6.pdb
BCAM,P50895,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P50895-F1-model_v6.pdb
CD1A,P06126,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06126-F1-model_v6.pdb
ACP2,P11117,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P11117-F1-model_v6.pdb
MR1,Q95460,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q95460-F1-model_v6.pdb
IFNLR1,Q8IU57,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8IU57-F1-model_v6.pdb
SLC33A1,O00400,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00400-F1-model_v6.pdb
IL17RB,Q9NRM6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NRM6-F1-model_v6.pdb
CDH11,P55287,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P55287-F1-model_v6.pdb
SLC38A1,Q9H2H9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H2H9-F1-model_v6.pdb
PTPRK,Q15262,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15262-F1-model_v6.pdb
SLC37A2,Q8TED4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TED4-F1-model_v6.pdb
SLC5A1,P13866,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P13866-F1-model_v6.pdb
ULBP3,Q9BZM4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BZM4-F1-model_v6.pdb
ITGA6,P23229,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P23229-F1-model_v6.pdb
ATP1A1,P05023,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05023-F1-model_v6.pdb
IFNGR2,P38484,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P38484-F1-model_v6.pdb
EPHA2,P29317,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29317-F1-model_v6.pdb
CCRL2,O00421,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00421-F1-model_v6.pdb
GPR87,Q9BY21,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BY21-F1-model_v6.pdb
ZDHHC5,Q9C0B5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9C0B5-F1-model_v6.pdb
ERVMER34-1,Q9H9K5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H9K5-F1-model_v6.pdb
FLVCR1,Q9Y5Y0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5Y0-F1-model_v6.pdb
PIGT,Q969N2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q969N2-F1-model_v6.pdb
GABRD,O14764,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14764-F1-model_v6.pdb
ZACN,Q401N2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q401N2-F1-model_v6.pdb
SIGLEC10,Q96LC7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96LC7-F1-model_v6.pdb
SLC41A2,Q96JW4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96JW4-F1-model_v6.pdb
SEMA4A,Q9H3S1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H3S1-F1-model_v6.pdb
CD5,P06127,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06127-F1-model_v6.pdb
LRRC25,Q8N386,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N386-F1-model_v6.pdb
MPZL1,O95297,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95297-F1-model_v6.pdb
RHBDF2,Q6PJF5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6PJF5-F1-model_v6.pdb
ADAM8,P78325,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78325-F1-model_v6.pdb
TMEM158,Q8WZ71,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WZ71-F1-model_v6.pdb
TLR3,O15455,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15455-F1-model_v6.pdb
NIPAL1,Q6NVV3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6NVV3-F1-model_v6.pdb
IL21R,Q9HBE5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HBE5-F1-model_v6.pdb
IGFLR1,Q9H665,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H665-F1-model_v6.pdb
CD164L2,Q6UWJ8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UWJ8-F1-model_v6.pdb
IFNAR2,P48551,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48551-F1-model_v6.pdb
SLC30A1,Q9Y6M5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y6M5-F1-model_v6.pdb
IL12RB1,P42701,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P42701-F1-model_v6.pdb
FZD6,O60353,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60353-F1-model_v6.pdb
ITM2C,Q9NQX7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NQX7-F1-model_v6.pdb
ATRN,O75882,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75882-F1-model_v6.pdb
ITGA3,P26006,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P26006-F1-model_v6.pdb
CADM4,Q8NFZ8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NFZ8-F1-model_v6.pdb
SMO,Q99835,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q99835-F1-model_v6.pdb
FOLR2,P14207,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P14207-F1-model_v6.pdb
CLSTN1,O94985,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O94985-F1-model_v6.pdb
CD44,P16070,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16070-F1-model_v6.pdb
SLC37A4,O43826,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43826-F1-model_v6.pdb
CD101,Q93033,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q93033-F1-model_v6.pdb
EVI2A,P22794,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P22794-F1-model_v6.pdb
TMED7,Q9Y3B3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y3B3-F1-model_v6.pdb
ADAM28,Q9UKQ2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UKQ2-F1-model_v6.pdb
NFAM1,Q8NET5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NET5-F1-model_v6.pdb
MMP14,P50281,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P50281-F1-model_v6.pdb
IFNAR1,P17181,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P17181-F1-model_v6.pdb
TMEM87B,Q96K49,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96K49-F1-model_v6.pdb
MICB,Q29980,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q29980-F1-model_v6.pdb
PSEN1,P49768,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49768-F1-model_v6.pdb
NCSTN,Q92542,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q92542-F1-model_v6.pdb
PIGO,Q8TEQ8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TEQ8-F1-model_v6.pdb
RTN4RL2,Q86UN3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86UN3-F1-model_v6.pdb
TM9SF1,O15321,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15321-F1-model_v6.pdb
IL20RA,Q9UHF4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UHF4-F1-model_v6.pdb
SLC7A1,P30825,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P30825-F1-model_v6.pdb
SUCO,Q9UBS9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UBS9-F1-model_v6.pdb
LRP11,Q86VZ4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86VZ4-F1-model_v6.pdb
APP,P05067,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05067-F1-model_v6.pdb
TNFRSF19,Q9NS68,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NS68-F1-model_v6.pdb
PCDH1,Q08174,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08174-F1-model_v6.pdb
SLC44A5,Q8NCS7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NCS7-F1-model_v6.pdb
ATP13A2,Q9NQ11,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NQ11-F1-model_v6.pdb
EPHB4,P54760,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P54760-F1-model_v6.pdb
SLC15A1,P46059,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P46059-F1-model_v6.pdb
IL10RB,Q08334,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08334-F1-model_v6.pdb
LRP8,Q14114,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14114-F1-model_v6.pdb
PTPRC,P08575,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08575-F1-model_v6.pdb
ITGB1,P05556,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05556-F1-model_v6.pdb
SUSD1,Q6UWL2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UWL2-F1-model_v6.pdb
TM7SF3,Q9NS93,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NS93-F1-model_v6.pdb
UBAC2,Q8NBM4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NBM4-F1-model_v6.pdb
TMEM179B,Q7Z7N9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7Z7N9-F1-model_v6.pdb
