gene,uniprot_id,pdb_file
LMAN2L,Q9H0V9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H0V9-F1-model_v6.pdb
SLC17A5,Q9NRA2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NRA2-F1-model_v6.pdb
SLC35A5,Q9BS91,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BS91-F1-model_v6.pdb
GPR19,Q15760,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15760-F1-model_v6.pdb
SLC39A10,Q9ULF5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9ULF5-F1-model_v6.pdb
TSPAN14,Q8NG11,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NG11-F1-model_v6.pdb
TM9SF3,Q9HD45,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HD45-F1-model_v6.pdb
SLC9A2,Q9UBY0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UBY0-F1-model_v6.pdb
CD1E,P15812,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P15812-F1-model_v6.pdb
GPR34,Q9UPC5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UPC5-F1-model_v6.pdb
SLAMF6,Q96DU3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96DU3-F1-model_v6.pdb
CD151,P48509,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48509-F1-model_v6.pdb
HLA-F,P30511,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P30511-F1-model_v6.pdb
HCAR1,Q9BXC0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BXC0-F1-model_v6.pdb
MFSD12,Q6NUT3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6NUT3-F1-model_v6.pdb
NRCAM,Q92823,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q92823-F1-model_v6.pdb
IL7R,P16871,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16871-F1-model_v6.pdb
BTN3A3,O00478,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00478-F1-model_v6.pdb
NRP2,O60462,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60462-F1-model_v6.pdb
GABRP,O00591,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00591-F1-model_v6.pdb
CALCRL,Q16602,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16602-F1-model_v6.pdb
ITGAX,P20702,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P20702-F1-model_v6.pdb
LDLRAD3,Q86YD5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86YD5-F1-model_v6.pdb
TMEM9B,Q9NQ34,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NQ34-F1-model_v6.pdb
ANKH,Q9HCJ1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HCJ1-F1-model_v6.pdb
IGF2R,P11717,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P11717-F1-model_v6.pdb
FRRS1,Q6ZNA5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ZNA5-F1-model_v6.pdb
SLC29A2,Q14542,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14542-F1-model_v6.pdb
SLC45A4,Q5BKX6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5BKX6-F1-model_v6.pdb
FZD1,Q9UP38,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UP38-F1-model_v6.pdb
CTLA4,P16410,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16410-F1-model_v6.pdb
SLC28A3,Q9HAS3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HAS3-F1-model_v6.pdb
SLC19A1,P41440,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P41440-F1-model_v6.pdb
GPR37,O15354,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15354-F1-model_v6.pdb
M6PR,P20645,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P20645-F1-model_v6.pdb
ITFG1,Q8TB96,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TB96-F1-model_v6.pdb
NEO1,Q92859,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q92859-F1-model_v6.pdb
GJB5,O95377,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95377-F1-model_v6.pdb
LAMP1,P11279,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P11279-F1-model_v6.pdb
GPNMB,Q14956,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14956-F1-model_v6.pdb
CCR6,P51684,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51684-F1-model_v6.pdb
PMEL,P40967,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P40967-F1-model_v6.pdb
VSIG10,Q8N0Z9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N0Z9-F1-model_v6.pdb
KITLG,P21583,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21583-F1-model_v6.pdb
CD300C,Q08708,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08708-F1-model_v6.pdb
ENTPD1,P49961,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49961-F1-model_v6.pdb
SLC2A9,Q9NRM0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NRM0-F1-model_v6.pdb
ADORA2B,P29275,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29275-F1-model_v6.pdb
SLC29A4,Q7RTT9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7RTT9-F1-model_v6.pdb
PTPRH,Q9HD43,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HD43-F1-model_v6.pdb
SEMA4F,O95754,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95754-F1-model_v6.pdb
FGFR4,P22455,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P22455-F1-model_v6.pdb
ACVR1B,P36896,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P36896-F1-model_v6.pdb
TMEM161A,Q9NX61,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NX61-F1-model_v6.pdb
NTM,Q9P121,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P121-F1-model_v6.pdb
PCDH17,O14917,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14917-F1-model_v6.pdb
ITGA4,P13612,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P13612-F1-model_v6.pdb
CD38,P28907,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P28907-F1-model_v6.pdb
PANX2,Q96RD6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96RD6-F1-model_v6.pdb
GRIN2D,O15399,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15399-F1-model_v6.pdb
NOTCH3,Q9UM47,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UM47-F1-model_v6.pdb
TNFSF11,O14788,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14788-F1-model_v6.pdb
SCNN1G,P51170,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51170-F1-model_v6.pdb
EFNB2,P52799,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P52799-F1-model_v6.pdb
ITM2B,Q9Y287,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y287-F1-model_v6.pdb
AMIGO2,Q86SJ2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86SJ2-F1-model_v6.pdb
TMEM106A,Q96A25,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96A25-F1-model_v6.pdb
SEMA7A,O75326,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75326-F1-model_v6.pdb
GABRA3,P34903,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P34903-F1-model_v6.pdb
CCR8,P51685,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51685-F1-model_v6.pdb
QSOX1,O00391,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00391-F1-model_v6.pdb
SLC12A7,Q9Y666,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y666-F1-model_v6.pdb
LYPD5,Q6UWN5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UWN5-F1-model_v6.pdb
TMEM219,Q86XT9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86XT9-F1-model_v6.pdb
HYAL2,Q12891,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q12891-F1-model_v6.pdb
ITGB5,P18084,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P18084-F1-model_v6.pdb
TMC7,Q7Z402,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7Z402-F1-model_v6.pdb
HLA-DOB,P13765,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P13765-F1-model_v6.pdb
LILRA4,P59901,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P59901-F1-model_v6.pdb
SLC52A1,Q9NWF4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NWF4-F1-model_v6.pdb
MANSC1,Q9H8J5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H8J5-F1-model_v6.pdb
SLC46A1,Q96NT5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96NT5-F1-model_v6.pdb
RNF13,O43567,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43567-F1-model_v6.pdb
KCNK5,O95279,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95279-F1-model_v6.pdb
TNFRSF17,Q02223,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q02223-F1-model_v6.pdb
GPR157,Q5UAW9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5UAW9-F1-model_v6.pdb
ABCC1,P33527,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P33527-F1-model_v6.pdb
EDNRA,P25101,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P25101-F1-model_v6.pdb
FCRL5,Q96RD9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96RD9-F1-model_v6.pdb
DPEP1,P16444,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16444-F1-model_v6.pdb
CX3CR1,P49238,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49238-F1-model_v6.pdb
GPR180,Q86V85,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86V85-F1-model_v6.pdb
LINGO1,Q96FE5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96FE5-F1-model_v6.pdb
SLCO1A2,P46721,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P46721-F1-model_v6.pdb
DSC3,Q14574,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14574-F1-model_v6.pdb
BTN3A1,O00481,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00481-F1-model_v6.pdb
PCDH7,O60245,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60245-F1-model_v6.pdb
PCDHB9,Q9Y5E1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5E1-F1-model_v6.pdb
DISP2,A7MBM2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-A7MBM2-F1-model_v6.pdb
LY9,Q9HBG7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HBG7-F1-model_v6.pdb
SVOPL,Q8N434,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N434-F1-model_v6.pdb
MFSD2A,Q8NA29,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NA29-F1-model_v6.pdb
ICOS,Q9Y6W8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y6W8-F1-model_v6.pdb
DCSTAMP,Q9H295,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H295-F1-model_v6.pdb
GPR107,Q5VW38,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5VW38-F1-model_v6.pdb
DGCR2,P98153,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P98153-F1-model_v6.pdb
PLXNB2,O15031,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15031-F1-model_v6.pdb
CLDN10,P78369,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78369-F1-model_v6.pdb
CD46,P15529,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P15529-F1-model_v6.pdb
MFSD6,Q6ZSS7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ZSS7-F1-model_v6.pdb
TXNDC15,Q96J42,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96J42-F1-model_v6.pdb
SIDT1,Q9NXL6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NXL6-F1-model_v6.pdb
IL1RL2,Q9HB29,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HB29-F1-model_v6.pdb
SIGLEC14,Q08ET2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08ET2-F1-model_v6.pdb
LPAR3,Q9UBY5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UBY5-F1-model_v6.pdb
ABCA3,Q99758,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q99758-F1-model_v6.pdb
PLXDC2,Q6UX71,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UX71-F1-model_v6.pdb
TSPAN31,Q12999,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q12999-F1-model_v6.pdb
DCBLD1,Q8N8Z6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N8Z6-F1-model_v6.pdb
F2RL2,O00254,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00254-F1-model_v6.pdb
ANO7,Q6IWH7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6IWH7-F1-model_v6.pdb
CD84,Q9UIB8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UIB8-F1-model_v6.pdb
CLSTN3,Q9BQT9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BQT9-F1-model_v6.pdb
TNFSF4,P23510,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P23510-F1-model_v6.pdb
FZD3,Q9NPG1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPG1-F1-model_v6.pdb
GPC6,Q9Y625,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y625-F1-model_v6.pdb
SLAMF9,Q96A28,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96A28-F1-model_v6.pdb
PCDH12,Q9NPG4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPG4-F1-model_v6.pdb
ALPP,P05187,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05187-F1-model_v6.pdb
NCMAP,Q5T1S8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5T1S8-F1-model_v6.pdb
LILRB1,Q8NHL6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NHL6-F1-model_v6.pdb
TRIL,Q7L0X0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7L0X0-F1-model_v6.pdb
PVR,P15151,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P15151-F1-model_v6.pdb
S1PR4,O95977,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95977-F1-model_v6.pdb
FCGR2B,P31994,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P31994-F1-model_v6.pdb
P2RY10,O00398,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00398-F1-model_v6.pdb
C3orf80,F5H4A9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-F5H4A9-F1-model_v6.pdb
GPR84,Q9NQS5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NQS5-F1-model_v6.pdb
SLC38A9,Q8NBW4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NBW4-F1-model_v6.pdb
CLDN16,Q9Y5I7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5I7-F1-model_v6.pdb
SLC6A11,P48066,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48066-F1-model_v6.pdb
MILR1,Q7Z6M3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q7Z6M3-F1-model_v6.pdb
EDAR,Q9UNE0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UNE0-F1-model_v6.pdb
PSCA,O43653,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43653-F1-model_v6.pdb
TLR5,O60602,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60602-F1-model_v6.pdb
SYPL1,Q16563,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16563-F1-model_v6.pdb
IL17RD,Q8NFM7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NFM7-F1-model_v6.pdb
TMEM63C,Q9P1W3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P1W3-F1-model_v6.pdb
ITGA11,Q9UKX5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UKX5-F1-model_v6.pdb
TNFSF8,P32971,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32971-F1-model_v6.pdb
HCAR2,Q8TDS4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TDS4-F1-model_v6.pdb
SLC1A1,P43005,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P43005-F1-model_v6.pdb
PTPRO,Q16827,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16827-F1-model_v6.pdb
PRSS21,Q9Y6M0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y6M0-F1-model_v6.pdb
LTBR,P36941,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P36941-F1-model_v6.pdb
CD163L1,Q9NR16,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NR16-F1-model_v6.pdb
CD1C,P29017,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29017-F1-model_v6.pdb
EMP2,P54851,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P54851-F1-model_v6.pdb
HTR1D,P28221,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P28221-F1-model_v6.pdb
TPBG,Q13641,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13641-F1-model_v6.pdb
BDKRB2,P30411,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P30411-F1-model_v6.pdb
P2RY8,Q86VZ1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86VZ1-F1-model_v6.pdb
SIGLEC9,Q9Y336,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y336-F1-model_v6.pdb
PODXL,O00592,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00592-F1-model_v6.pdb
TM4SF18,Q96CE8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96CE8-F1-model_v6.pdb
LDLR,P01130,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01130-F1-model_v6.pdb
ACVR2B,Q13705,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13705-F1-model_v6.pdb
DLL3,Q9NYJ7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NYJ7-F1-model_v6.pdb
OR2A7,Q96R45,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96R45-F1-model_v6.pdb
GPR158,Q5T848,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5T848-F1-model_v6.pdb
DUOXA1,Q1HG43,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q1HG43-F1-model_v6.pdb
GPR171,O14626,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14626-F1-model_v6.pdb
SLC6A9,P48067,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48067-F1-model_v6.pdb
TRGC2,P03986,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P03986-F1-model_v6.pdb
CEACAM21,Q3KPI0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q3KPI0-F1-model_v6.pdb
SPPL2A,Q8TCT8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TCT8-F1-model_v6.pdb
PROM1,O43490,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43490-F1-model_v6.pdb
FCER1A,P12319,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P12319-F1-model_v6.pdb
FPR1,P21462,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21462-F1-model_v6.pdb
SLC5A3,P53794,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P53794-F1-model_v6.pdb
NRROS,Q86YC3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86YC3-F1-model_v6.pdb
S1PR2,O95136,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95136-F1-model_v6.pdb
MFAP3,P55082,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P55082-F1-model_v6.pdb
SIRPB1,Q5TFQ8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5TFQ8-F1-model_v6.pdb
MFSD11,O43934,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43934-F1-model_v6.pdb
SLC6A12,P48065,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P48065-F1-model_v6.pdb
NT5E,P21589,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21589-F1-model_v6.pdb
NKAIN1,Q4KMZ8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q4KMZ8-F1-model_v6.pdb
TMEM217,Q8N7C4,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N7C4-F1-model_v6.pdb
TMEM62,Q0P6H9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q0P6H9-F1-model_v6.pdb
MME,P08473,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08473-F1-model_v6.pdb
SLC2A6,Q9UGQ3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UGQ3-F1-model_v6.pdb
C5AR1,P21730,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P21730-F1-model_v6.pdb
TLR2,O60603,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60603-F1-model_v6.pdb
CCR2,P41597,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P41597-F1-model_v6.pdb
LRFN1,Q9P244,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P244-F1-model_v6.pdb
FLVCR2,Q9UPI3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UPI3-F1-model_v6.pdb
PDCD1,Q15116,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15116-F1-model_v6.pdb
CD1B,P29016,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29016-F1-model_v6.pdb
CLEC7A,Q9BXN2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BXN2-F1-model_v6.pdb
BTC,P35070,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P35070-F1-model_v6.pdb
PTCRA,Q6ISU1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ISU1-F1-model_v6.pdb
SIGLEC15,Q6ZMC9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ZMC9-F1-model_v6.pdb
EFNB3,Q15768,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15768-F1-model_v6.pdb
CSPG5,O95196,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95196-F1-model_v6.pdb
SLITRK6,Q9H5Y7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H5Y7-F1-model_v6.pdb
PSEN2,P49810,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49810-F1-model_v6.pdb
PRLR,P16471,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16471-F1-model_v6.pdb
CHRNA1,P02708,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P02708-F1-model_v6.pdb
GPR161,Q8N6U8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N6U8-F1-model_v6.pdb
FURIN,P09958,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P09958-F1-model_v6.pdb
P2RY2,P41231,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P41231-F1-model_v6.pdb
CLDN2,P57739,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P57739-F1-model_v6.pdb
MUC13,Q9H3R2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H3R2-F1-model_v6.pdb
MYOF,Q9NZM1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NZM1-F1-model_v6.pdb
CDHR2,Q9BYE9,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BYE9-F1-model_v6.pdb
GABRQ,Q9UN88,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UN88-F1-model_v6.pdb
GPR183,P32249,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32249-F1-model_v6.pdb
CNNM3,Q8NE01,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NE01-F1-model_v6.pdb
LRRN1,Q6UXK5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UXK5-F1-model_v6.pdb
CD80,P33681,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P33681-F1-model_v6.pdb
AQP9,O43315,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43315-F1-model_v6.pdb
CX3CL1,P78423,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78423-F1-model_v6.pdb
UPK2,O00526,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00526-F1-model_v6.pdb
SUCNR1,Q9BXA5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BXA5-F1-model_v6.pdb
GPR27,Q9NS67,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NS67-F1-model_v6.pdb
PCDHA11,Q9Y5I1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5I1-F1-model_v6.pdb
IGF1R,P08069,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08069-F1-model_v6.pdb
LRP12,Q9Y561,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y561-F1-model_v6.pdb
VNN1,O95497,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95497-F1-model_v6.pdb
HCAR3,P49019,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P49019-F1-model_v6.pdb
SEMA5B,Q9P283,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P283-F1-model_v6.pdb
MRC2,Q9UBG0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UBG0-F1-model_v6.pdb
SLC26A2,P50443,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P50443-F1-model_v6.pdb
GRM8,O00222,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O00222-F1-model_v6.pdb
UPK1B,O75841,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75841-F1-model_v6.pdb
EFNB1,P98172,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P98172-F1-model_v6.pdb
PDCD1LG2,Q9BQ51,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BQ51-F1-model_v6.pdb
